number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_weight_0,params_weight_1,params_weight_2,state,trial_number,iterations,learning_rate,depth,l2_leaf_reg,class_weight_0,class_weight_1,class_weight_2,f1_score
0.0,0.1955415010780069,2025-03-30 21:49:14.602093,2025-03-30 21:49:16.645727,0 days 00:00:02.043634,6.0,167.0,0.0061188736270452,0.0021114816674621,0.8679291531303606,2.172313676189048,6.834391764423707,COMPLETE,,,,,,,,,
1.0,0.1413306482546989,2025-03-30 21:49:16.649603,2025-03-30 21:49:18.884171,0 days 00:00:02.234568,8.0,125.0,0.6912603970975716,0.0568168588106154,0.7685747635587634,5.603887148101098,7.597993135862308,COMPLETE,,,,,,,,,
2.0,0.1413306482546989,2025-03-30 21:49:18.886312,2025-03-30 21:49:19.365543,0 days 00:00:00.479231,4.0,451.0,0.8095996631738135,0.1799089396792046,1.648331479512005,4.92347725217732,6.422933496534313,COMPLETE,,,,,,,,,
3.0,0.2277394027766554,2025-03-30 21:49:19.365543,2025-03-30 21:49:20.110477,0 days 00:00:00.744934,6.0,351.0,8.138304044988141,0.0334497139879484,1.3866911599664915,2.7815133748099976,6.319321490258828,COMPLETE,,,,,,,,,
4.0,0.1413306482546989,2025-03-30 21:49:20.110477,2025-03-30 21:49:22.305867,0 days 00:00:02.195390,8.0,134.0,3.8178896772257023,0.0032461750930013,1.9252774495937768,4.608317096078027,6.189198040332233,COMPLETE,,,,,,,,,
5.0,0.1413306482546989,2025-03-30 21:49:22.311189,2025-03-30 21:49:22.942848,0 days 00:00:00.631659,6.0,177.0,0.8099957468083749,0.0047717275477247,1.197861899414543,4.612846415793995,7.551925787225864,COMPLETE,,,,,,,,,
6.0,0.2357200525130532,2025-03-30 21:49:22.942848,2025-03-30 21:49:25.526733,0 days 00:00:02.583885,8.0,383.0,0.0072522816206247,0.005678307404828,1.887832360282284,5.49075860932272,6.409651558110918,COMPLETE,,,,,,,,,
7.0,0.1413306482546989,2025-03-30 21:49:25.526733,2025-03-30 21:49:27.263757,0 days 00:00:01.737024,8.0,462.0,1.805739266029807,0.0791793229146213,0.6602090461782458,2.560364187990692,4.600370129738146,COMPLETE,,,,,,,,,
8.0,0.1465251306455015,2025-03-30 21:49:27.263757,2025-03-30 21:49:27.929838,0 days 00:00:00.666081,6.0,260.0,0.0205620250388877,0.0827155538205143,0.7454208729429239,2.367070201946248,7.400115073877011,COMPLETE,,,,,,,,,
9.0,0.2837575031749589,2025-03-30 21:49:27.931856,2025-03-30 21:49:28.446055,0 days 00:00:00.514199,5.0,227.0,0.1815410796733684,0.0017916230373438,1.82209982354058,3.9936878609192448,7.80182059825886,COMPLETE,,,,,,,,,
