Feature A,Feature B,Mean |A/B| Ratio
Exhaust_Temperature,Freq_Energy,19.395455963996582
Acoustic_Intensity,Freq_Energy,19.374675309488154
Temp_Ratio,Freq_Energy,17.78894266065587
Vibration_Amplitude,Freq_Energy,16.954653550144137
Acoustic_dB,Freq_Energy,16.28513159042406
Acoustic_Frequency,Freq_Energy,15.770762482839753
Exhaust_Temperature,Acoustic_Frequency,15.122551431137042
Intake_Pressure,Acoustic_Intensity,15.108123340679033
Frequency_Band_Energy,Freq_Energy,13.843402503922041
Intake_Pressure,Freq_Energy,13.457080780445242
Surface_Temperature,Freq_Energy,13.082504861088266
Vibration_Frequency,Acoustic_Frequency,12.774197328401662
Acoustic_dB,Acoustic_Frequency,12.563833465120437
Pressure_Drop,Freq_Energy,12.458765292676945
Exhaust_Temperature,Acoustic_Intensity,12.20508739939305
Frequency_Band_Energy,Acoustic_Intensity,12.149473257931158
Amplitude_Mean,Freq_Energy,11.91479335095952
Intake_Pressure,Exhaust_Pressure,11.434407636845629
Surface_Temperature,Acoustic_Intensity,10.371175179228565
Pressure_Drop,Acoustic_Intensity,10.302434723338848
RMS_Vibration,Acoustic_Intensity,9.84616629171639
Exhaust_Pressure,Amplitude_Mean,9.77644691237649
Frequency_Band_Energy,Amplitude_Mean,9.769649704062862
Exhaust_Pressure,Acoustic_Intensity,9.320245109228402
Exhaust_Pressure,Freq_Energy,9.260019367036415
Vibration_Amplitude,Acoustic_Frequency,9.211282734852821
Vibration_Frequency,Freq_Energy,9.030279562051133
Acoustic_Frequency,Noise_Vibration_Ratio,8.899912904147572
Vibration_Frequency,Acoustic_Intensity,8.83607509976568
Surface_Temperature,Pressure_Drop,8.806791369879402
Frequency_Band_Energy,Noise_Vibration_Ratio,8.705653974392789
Vibration_Frequency,Pressure_Drop,8.639511766080616
Amplitude_Mean,Noise_Vibration_Ratio,8.603404897598317
Vibration_Frequency,Noise_Vibration_Ratio,8.45739179811027
Intake_Pressure,Vibration_ratio,8.395299672743109
Acoustic_Frequency,Vibration_ratio,8.389720793199286
RMS_Vibration,Amplitude_Mean,8.380647343486595
Acoustic_dB,Pressure_Drop,8.362556384151627
Exhaust_Temperature,Pressure_Drop,8.348946654972778
RMS_Vibration,Noise_Vibration_Ratio,8.285815118524477
