,Mean,Std,Min,Max,Range,Skewness,Kurtosis
Vibration_Amplitude,2.596882255782896e-16,1.0000349424323534,-1.8596890758460733,1.9119043805762523,3.771593456422326,0.025861796886438353,-1.0381537940779708
RMS_Vibration,-1.4051963257869206e-16,1.0000349424323534,-1.8622981596002137,1.8501027621585093,3.7124009217587233,-0.00851770525569336,-1.0838747013106347
Vibration_Frequency,1.1519630656627759e-16,1.0000349424323534,-1.8293553834717637,1.8682216538914347,3.6975770373631986,0.02254481620793678,-1.0904281267500733
Surface_Temperature,3.3317552459470806e-16,1.0000349424323531,-1.8750545618967067,1.8724486797996622,3.7475032416963687,-0.00517816188474094,-1.0686455623747606
Exhaust_Temperature,-5.541339574481284e-16,1.0000349424323534,-1.8372779452822705,1.8929774346667703,3.7302553799490408,0.05451681908456446,-1.0786281179847208
Acoustic_dB,-3.3218245298637807e-16,1.0000349424323534,-1.8596659920402907,1.8156146774836535,3.675280669523944,-0.044767104631628245,-1.0974780171361658
Acoustic_Frequency,6.157043971645872e-17,1.0000349424323536,-1.7871032234654052,1.7251770430341238,3.5122802664995287,-0.08388851413676893,-1.1856002921585573
Intake_Pressure,1.3580254243912466e-15,1.0000349424323534,-1.8870637418461296,1.8914513277972436,3.7785150696433734,0.011836448948930808,-1.0589033030039792
Exhaust_Pressure,4.836258732566999e-16,1.0000349424323534,-1.8590244298906193,1.834695002198036,3.6937194320886553,-0.01744262017392947,-1.097626370365752
Frequency_Band_Energy,2.760739071157342e-16,1.0000349424323534,-1.8824904893627599,1.8729539964424238,3.7554444858051834,-0.019102389838230545,-1.0698823275671905
Amplitude_Mean,-1.0526559048297781e-16,1.0000349424323531,-1.9005766940733089,1.8781838495579581,3.7787605436312672,-0.028561058091612353,-1.0414956603057828
Vibration_ratio,-3.4757506291549275e-17,1.0000349424323534,-0.5031784575203776,18.19630709204334,18.699485549563718,6.420558370711646,58.71864763470819
Temp_Ratio,3.0586605536563363e-16,1.0000349424323534,-1.39742125751973,4.938567580163961,6.335988837683692,1.4394939551820412,2.365162433581699
Pressure_Drop,1.1221709174128767e-16,1.0000349424323536,-2.6009851490581193,2.6002883194643713,5.201273468522491,0.0022369190246452984,-0.4629744985387676
Acoustic_Intensity,6.951501258309855e-17,1.0000349424323534,-1.666554181263493,2.6584881588266853,4.325042340090178,0.26750851160786127,-0.7895155270366336
Freq_Energy,4.096420384361165e-18,1.0000349424323534,-1.3446827186787782,3.5233143795813535,4.8679970982601315,0.8911159863561013,0.1189674695509626
Amplitude_Energy,1.5889145733279668e-16,1.0000349424323534,-1.4023445022296894,3.5608830590230793,4.9632275612527685,0.855850279583864,0.1615527445870697
Noise_Vibration_Ratio,-3.699191741029173e-17,1.0000349424323531,-0.48749467760715687,15.252575735618601,15.740070413225757,5.649848757735508,43.13431316375538
