Width,Depth,Iterations,Accuracy,F1-score
264,3,291,0.5585,0.5021
424,1,877,0.4875,0.471
237,7,210,0.597,0.4469
376,4,373,0.5915,0.4783
159,9,936,0.4395,0.4294
359,6,971,0.3765,0.3782
175,7,665,0.596,0.4518
195,2,827,0.556,0.4861
36,4,532,0.579,0.4765
440,6,178,0.5965,0.4457
210,1,734,0.5965,0.4457
152,2,705,0.5965,0.4457
248,7,907,0.5965,0.4457
158,8,435,0.416,0.4236
203,5,604,0.596,0.4483
293,7,760,0.5065,0.4638
316,3,112,0.5915,0.4528
479,3,791,0.5925,0.4537
288,5,893,0.5965,0.4457
117,4,276,0.5965,0.4457
452,5,424,0.4615,0.4491
434,6,225,0.581,0.4659
69,2,743,0.4075,0.3784
220,10,128,0.594,0.4457
92,6,191,0.568,0.4723
318,8,672,0.431,0.418
183,7,363,0.5965,0.4457
467,9,474,0.596,0.4455
55,3,144,0.595,0.4453
411,2,499,0.5965,0.4457
98,7,638,0.472,0.4555
443,1,153,0.5965,0.4457
20,9,314,0.5845,0.4484
31,2,955,0.5965,0.4457
238,1,834,0.542,0.4604
364,10,207,0.5965,0.4457
101,4,692,0.5765,0.4714
22,4,442,0.548,0.4742
148,3,202,0.5965,0.4779
160,2,859,0.1095,0.0463
32,1,137,0.4095,0.3891
73,3,640,0.54,0.4916
165,1,671,0.597,0.4583
99,3,971,0.587,0.4561
191,5,185,0.596,0.4527
123,4,466,0.5165,0.4691
138,4,770,0.5715,0.4708
137,3,878,0.592,0.4511
114,5,311,0.5915,0.4646
86,1,586,0.5255,0.4829
176,4,953,0.5965,0.4573
38,3,512,0.4695,0.4565
75,4,396,0.479,0.4649
48,2,328,0.344,0.2637
57,2,817,0.497,0.4669
189,2,258,0.5975,0.4499
298,7,856,0.447,0.4513
431,3,352,0.466,0.4635
163,8,640,0.4595,0.4613
459,2,452,0.466,0.466
98,4,156,0.4615,0.4699
56,5,723,0.4285,0.4457
307,9,785,0.4565,0.4656
12,6,300,0.3575,0.3887
157,4,749,0.461,0.4635
135,3,233,0.472,0.475
240,6,360,0.442,0.4453
211,7,864,0.442,0.4488
120,10,113,0.457,0.46
463,7,986,0.455,0.4578
346,8,526,0.4655,0.4631
498,3,477,0.457,0.4544
268,1,684,0.4505,0.4631
42,9,263,0.4195,0.4364
250,2,418,0.446,0.451
388,9,597,0.459,0.4618
420,6,547,0.449,0.4579
73,2,187,0.4245,0.4399
330,5,667,0.4545,0.4655
377,7,935,0.438,0.4455
188,4,916,0.4555,0.4586
